	 Score 	 miRNAs 	 DEmiRNAPercentage 	 Total_miRNAs 	 TS_Genes 	 TSgenesPercentage 	 Module
Only in Control:  	 2.929 	 hsa-miR-101-3p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-526b-3p is not DE, hsa-miR-93-5p is not DE 	 25.00 	 4 	 TGFBR2 	 66.67 	 ['5', 'hsa-miR-93-5p', 'hsa-miR-101-3p', 'hsa-miR-519d-3p', 'hsa-miR-526b-3p', 'KPNA2', 'KDM6B', 'CLIC4', 'PPP1R15B', 'TGFBR2']
Only in Control:  	 3.057 	 hsa-miR-101-3p is not DE, hsa-miR-519b-3p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 TGFBR2 	 66.67 	 ['3', 'hsa-miR-93-5p', 'hsa-miR-101-3p', 'hsa-miR-519d-3p', 'hsa-miR-519b-3p', 'CLIC4', 'PPP1R15B', 'TGFBR2']
Only in Control:  	 3.088 	 hsa-let-7a-5p is not DE, hsa-miR-20b-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 ACOT9,CCND1 	 14.29 	 ['14', 'hsa-miR-93-5p', 'hsa-let-7a-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'FZD9', 'COIL', 'FUT10', 'ACOT9', 'GABPB1', 'WASL', 'ZBTB5', 'RBM12B', 'YOD1', 'PPP1R15B', 'RRM2', 'ZNF264', 'CDKN1A', 'CCND1']
Only in Control:  	 2.929 	 hsa-let-7a-5p is not DE, hsa-miR-372-3p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 ACOT9 	 22.22 	 ['5', 'hsa-miR-93-5p', 'hsa-let-7a-5p', 'hsa-miR-519d-3p', 'hsa-miR-372-3p', 'FZD9', 'ACOT9', 'YOD1', 'ZNF264', 'CDKN1A']
Only in Control:  	 3.000 	 hsa-let-7a-5p is not DE, hsa-miR-373-3p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 ACOT9 	 22.22 	 ['4', 'hsa-miR-93-5p', 'hsa-let-7a-5p', 'hsa-miR-519d-3p', 'hsa-miR-373-3p', 'FZD9', 'ACOT9', 'YOD1', 'ZNF264']
Only in Control:  	 3.057 	 hsa-let-7a-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-520h is not DE, hsa-miR-93-5p is not DE 	 25.00 	 4 	 ACOT9 	 22.22 	 ['3', 'hsa-miR-93-5p', 'hsa-let-7a-5p', 'hsa-miR-519d-3p', 'hsa-miR-520h', 'ACOT9', 'WASL', 'ZBTB5']
Only in Control:  	 3.000 	 hsa-let-7a-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-520a-3p is not DE, hsa-miR-93-5p is not DE 	 25.00 	 4 	 ACOT9 	 22.22 	 ['4', 'hsa-miR-93-5p', 'hsa-let-7a-5p', 'hsa-miR-519d-3p', 'hsa-miR-520a-3p', 'FZD9', 'ACOT9', 'YOD1', 'ZNF264']
Only in Control:  	 3.409 	 hsa-let-7a-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-526b-3p is not DE, hsa-miR-93-5p is not DE 	 25.00 	 4 	 ACOT9,CCND1 	 22.22 	 ['9', 'hsa-miR-93-5p', 'hsa-let-7a-5p', 'hsa-miR-519d-3p', 'hsa-miR-526b-3p', 'FZD9', 'COIL', 'FUT10', 'ACOT9', 'WASL', 'ZBTB5', 'PPP1R15B', 'ZNF264', 'CCND1']
Only in Control:  	 2.802 	 hsa-let-7a-5p is not DE, hsa-miR-202-3p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 CCND1 	 22.22 	 ['7', 'hsa-miR-93-5p', 'hsa-let-7a-5p', 'hsa-miR-519d-3p', 'hsa-miR-202-3p', 'FZD9', 'COIL', 'FUT10', 'WASL', 'YOD1', 'ZNF264', 'CCND1']
Only in Control:  	 3.858 	 hsa-miR-193b-3p is not DE, hsa-miR-20b-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 CCND1,YWHAZ 	 40.00 	 ['5', 'hsa-miR-93-5p', 'hsa-miR-193b-3p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'RNASEH1', 'DNAJB9', 'RRM2', 'YWHAZ', 'CCND1']
Only in Control:  	 4.000 	 hsa-miR-193b-3p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-526b-3p is not DE, hsa-miR-93-5p is not DE 	 25.00 	 4 	 CCND1,YWHAZ 	 50.00 	 ['4', 'hsa-miR-93-5p', 'hsa-miR-193b-3p', 'hsa-miR-519d-3p', 'hsa-miR-526b-3p', 'RNASEH1', 'DNAJB9', 'YWHAZ', 'CCND1']
Only in Control:  	 4.883 	 hsa-miR-20b-5p is not DE, hsa-miR-372-3p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 ACOT9,CEP72,CSNK1A1,EIF2S1,FOXK1,GIGYF1,GINS4,GPR157,ICA1L,PFKP,POLM,QSOX1,RAB11FIP1,RGMB,TGFBR2,ZNF682,ZNFX1 	 23.29 	 ['73', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-372-3p', 'GNB5', 'CXorf38', 'CAPZA2', 'GATAD1', 'ICA1L', 'GTF2H2C', 'SPIB', 'WDR53', 'RANGAP1', 'AGMAT', 'RNASEH1', 'TXK', 'EXO5', 'TNFAIP8L1', 'NR2F6', 'QSOX1', 'KCNA7', 'MED16', 'ZNF514', 'DIS3L', 'PRIM1', 'ZNF578', 'FXYD5', 'CRISPLD2', 'EFCAB11', 'BMP8B', 'ZNF682', 'CEP72', 'FZD9', 'FAM160B1', 'GPR157', 'ACOT9', 'TSR1', 'C9orf40', 'ZNF12', 'NR2C2', 'TTC9', 'ELK4', 'GINS4', 'RGMB', 'TIMM17A', 'KIAA0513', 'EIF2S1', 'ZFYVE26', 'TNFRSF10B', 'KPNA2', 'FOXK1', 'CAVIN1', 'HMGB1', 'FEM1C', 'YOD1', 'ZBTB33', 'CAPRIN2', 'SUCO', 'GIGYF1', 'FOXK2', 'SLC35F5', 'POLM', 'PNRC1', 'PFKP', 'DUSP2', 'NFIB', 'CSNK1A1', 'RHOC', 'RAB22A', 'TXNIP', 'ARID4B', 'MKNK2', 'RAB11FIP1', 'ZNF264', 'TGFBR2', 'CDKN1A', 'ZNFX1']
Only in Control:  	 4.786 	 hsa-miR-20b-5p is not DE, hsa-miR-224-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 FEM1B,QKI,SMAD4 	 60.00 	 ['5', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-224-5p', 'FEM1B', 'F3', 'QKI', 'TXNIP', 'SMAD4']
Only in Control:  	 3.000 	 hsa-miR-20b-5p is not DE, hsa-miR-503-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 CCND1 	 60.00 	 ['4', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-503-5p', 'NUFIP2', 'KIF23', 'WEE1', 'CCND1']
Only in Control:  	 3.604 	 hsa-miR-20b-5p is not DE, hsa-miR-424-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 ARHGAP12,CCND1 	 28.57 	 ['7', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-424-5p', 'ELK4', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23', 'WEE1', 'CCND1']
Only in Control:  	 3.604 	 hsa-miR-20b-5p is not DE, hsa-miR-335-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 POLM,REEP3 	 28.57 	 ['7', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-335-5p', 'RRAGD', 'MSMO1', 'REEP3', 'POLM', 'PNRC1', 'TXNIP', 'SOX4']
Only in Control:  	 3.858 	 hsa-miR-18a-5p is not DE, hsa-miR-20b-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 GIGYF1,RORA 	 40.00 	 ['5', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-18a-5p', 'RORA', 'F3', 'GIGYF1', 'TXNIP', 'PTEN']
Only in Control:  	 3.858 	 hsa-miR-20b-5p is not DE, hsa-miR-34c-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 CNOT4,GIGYF1 	 40.00 	 ['5', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-34c-5p', 'RRAGD', 'GIGYF1', 'ARHGAP1', 'CNOT4', 'TXNIP']
Only in Control:  	 5.150 	 hsa-miR-20b-5p is not DE, hsa-miR-519c-3p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 ADAR,ARHGAP12,CCDC71L,CNOT4,CSNK1A1,EFCAB14,FEM1B,HSPA8,KMT2B,LDLR,MAVS,MIDN,NAGK,PVR,QKI,RPS27A,SKIL,SLC5A3,SMAD4,SRSF2,TGFBR2,TSG101,TSKU,ZBTB18,ZNFX1 	 23.36 	 ['107', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-519c-3p', 'FEM1B', 'TMEM200C', 'RPF2', 'ATAT1', 'DNAJC28', 'KMT2B', 'RRAGD', 'EPS15L1', 'PKNOX1', 'RBM20', 'KLHL36', 'PCLAF', 'LZIC', 'TMEM242', 'CCDC71L', 'HMGB3', 'ZDHHC20', 'FOXQ1', 'BBX', 'CNOT6L', 'PXK', 'TFAM', 'EMSY', 'MAP3K2', 'NIPA1', 'RAN', 'SCAMP2', 'NR2C2', 'GRK3', 'PVR', 'FJX1', 'TSKU', 'SALL3', 'ANKRD33B', 'SKIL', 'MAVS', 'GNS', 'PHTF2', 'DNAJB9', 'CENPQ', 'ANKH', 'U2SURP', 'RAB10', 'FNBP1L', 'ZFYVE9', 'ZBTB18', 'MAPK1', 'WASL', 'ZBTB5', 'LAPTM4A', 'NAGK', 'NFAT5', 'RPS27A', 'LAMTOR1', 'HSPA8', 'SEPT2', 'POLR1B', 'EFCAB14', 'SLC5A3', 'TSG101', 'F3', 'SRSF2', 'FBXL5', 'KLHL28', 'C3orf38', 'TAX1BP1', 'BTG3', 'NUFIP2', 'NIN', 'FAM129A', 'CAPRIN2', 'ZNF202', 'TMEM127', 'BTF3L4', 'CLIC4', 'KIAA1191', 'MIDN', 'PTPN4', 'ARHGAP1', 'CNOT4', 'ENPP5', 'ZBTB4', 'PPP1R15B', 'MAPRE3', 'PDRG1', 'MAP7', 'ARHGAP12', 'NACC2', 'ZNF417', 'RAB5B', 'LDLR', 'NFIB', 'QKI', 'CSNK1A1', 'BNIP2', 'SMAD4', 'ADAR', 'NETO2', 'LASP1', 'SOX4', 'SLC30A1', 'SHOC2', 'BRI3BP', 'TGFBR2', 'KIF23', 'NABP1', 'ZNFX1']
Only in Control:  	 4.000 	 hsa-miR-20b-5p is not DE, hsa-miR-494-3p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 ARHGAP12,CCND1 	 50.00 	 ['4', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-494-3p', 'RRAGD', 'ARHGAP12', 'PTEN', 'CCND1']
Only in Control:  	 4.914 	 hsa-miR-20b-5p is not DE, hsa-miR-373-3p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 ACOT9,CEP72,CSNK1A1,EIF2S1,FOXK1,GIGYF1,GINS4,GPR157,ICA1L,PFKP,POLM,QSOX1,RAB11FIP1,RGMB,TGFBR2,ZNF682,ZNFX1 	 23.61 	 ['72', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-373-3p', 'GNB5', 'CXorf38', 'CAPZA2', 'GATAD1', 'ICA1L', 'GTF2H2C', 'SPIB', 'WDR53', 'RANGAP1', 'AGMAT', 'RNASEH1', 'TXK', 'EXO5', 'TNFAIP8L1', 'NR2F6', 'QSOX1', 'KCNA7', 'MED16', 'ZNF514', 'DIS3L', 'PRIM1', 'ZNF578', 'FXYD5', 'CRISPLD2', 'EFCAB11', 'BMP8B', 'ZNF682', 'CEP72', 'FZD9', 'FAM160B1', 'GPR157', 'ACOT9', 'TSR1', 'C9orf40', 'ZNF12', 'NR2C2', 'TTC9', 'ELK4', 'GINS4', 'RGMB', 'TIMM17A', 'KIAA0513', 'EIF2S1', 'ZFYVE26', 'TNFRSF10B', 'KPNA2', 'FOXK1', 'CAVIN1', 'HMGB1', 'FEM1C', 'YOD1', 'ZBTB33', 'CAPRIN2', 'SUCO', 'GIGYF1', 'FOXK2', 'SLC35F5', 'POLM', 'PNRC1', 'PFKP', 'DUSP2', 'NFIB', 'CSNK1A1', 'RHOC', 'RAB22A', 'TXNIP', 'ARID4B', 'MKNK2', 'RAB11FIP1', 'ZNF264', 'TGFBR2', 'ZNFX1']
Only in Control:  	 4.585 	 hsa-miR-20b-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-520h is not DE, hsa-miR-93-5p is not DE 	 25.00 	 4 	 ACOT9,CEP72,EIF2S1,FEM1A,ICA1L,LDLR,POLM,QSOX1,ZNF682 	 25.00 	 ['36', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-520h', 'GNB5', 'CXorf38', 'CAPZA2', 'GATAD1', 'ICA1L', 'GTF2H2C', 'SPIB', 'WDR53', 'RANGAP1', 'PIWIL2', 'AGMAT', 'TXK', 'TNFAIP8L1', 'QSOX1', 'DIS3L', 'PRIM1', 'ZNF578', 'FXYD5', 'EFCAB11', 'BMP8B', 'ZNF682', 'CEP72', 'HMGB3', 'FOXQ1', 'FEM1A', 'ACOT9', 'GRK3', 'EIF2S1', 'WASL', 'ZBTB5', 'HMGB1', 'SLC35F5', 'PTPN4', 'POLM', 'PNRC1', 'LDLR']
Only in Control:  	 3.000 	 hsa-miR-20b-5p is not DE, hsa-miR-22-3p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 YWHAZ 	 25.00 	 ['4', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-22-3p', 'RAB5B', 'YWHAZ', 'CDKN1A', 'PTEN']
Only in Control:  	 4.585 	 hsa-miR-20b-5p is not DE, hsa-miR-449a is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 CCND1,CNOT4,GIGYF1 	 50.00 	 ['6', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-449a', 'RRAGD', 'GIGYF1', 'ARHGAP1', 'CNOT4', 'TXNIP', 'CCND1']
Only in Control:  	 2.750 	 hsa-miR-20b-5p is not DE, hsa-miR-30d-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 GIGYF1 	 50.00 	 ['8', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-30d-5p', 'PTP4A1', 'PHTF2', 'SP4', 'GIGYF1', 'PPP1R15B', 'NACC2', 'RRM2', 'SOX4']
Only in Control:  	 4.292 	 hsa-miR-130b-3p is not DE, hsa-miR-20b-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 ARHGAP12,C16orf70,CNOT4,HSPA8,LDLR,MAVS,QKI,RPS27A,SMAD4,TGFBR2 	 20.41 	 ['49', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-130b-3p', 'RPF2', 'RRAGD', 'RBM20', 'KLHL36', 'LZIC', 'FOXQ1', 'PXK', 'CEP170', 'NIPA1', 'RAN', 'ZNF12', 'SALL3', 'MAVS', 'ZFYVE9', 'MAPK1', 'WASL', 'ZFYVE26', 'TNFRSF10B', 'RPS27A', 'HSPA8', 'POLR1B', 'CAPRIN2', 'BTF3L4', 'CLIC4', 'KIAA1191', 'PTPN4', 'ARHGAP1', 'CNOT4', 'ENPP5', 'C16orf70', 'ZBTB4', 'PRNP', 'PPP1R15B', 'MAPRE3', 'PDRG1', 'MAP7', 'ARHGAP12', 'NACC2', 'ZNF417', 'RAB5B', 'LDLR', 'NFIB', 'QKI', 'TXNIP', 'SMAD4', 'SOX4', 'TGFBR2', 'PTEN', 'NABP1']
Only in Control:  	 3.329 	 hsa-miR-20b-5p is not DE, hsa-miR-25-3p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 CNOT4,MYLIP 	 20.00 	 ['10', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-25-3p', 'DNAJB9', 'WASL', 'GID4', 'FAM129A', 'CNOT4', 'MDM2', 'SOX4', 'BTG2', 'MYLIP', 'BCL2L11']
Only in Control:  	 5.000 	 hsa-miR-17-3p is DOWN, hsa-miR-20b-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 50.00 	 4 	 FEM1A 	 20.00 	 ['4', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-17-3p', 'FEM1A', 'HBP1', 'SOD2', 'TXNIP']
Only in Control:  	 5.000 	 hsa-miR-20b-5p is not DE, hsa-miR-491-5p is UP, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 50.00 	 4 	 YWHAZ 	 20.00 	 ['4', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-491-5p', 'NACC2', 'YWHAZ', 'NFIB', 'SHOC2']
Only in Control:  	 2.750 	 hsa-miR-20b-5p is not DE, hsa-miR-30e-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 GIGYF1 	 20.00 	 ['8', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-30e-5p', 'PTP4A1', 'PHTF2', 'SP4', 'GIGYF1', 'PPP1R15B', 'NACC2', 'RRM2', 'SOX4']
Only in Control:  	 3.858 	 hsa-miR-20b-5p is not DE, hsa-miR-365a-3p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 CCND1,MYLIP 	 40.00 	 ['5', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-365a-3p', 'POLR1B', 'NUFIP2', 'BTF3L4', 'MYLIP', 'CCND1']
Only in Control:  	 5.258 	 hsa-miR-142-3p is UP, hsa-miR-20b-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 50.00 	 4 	 C16orf70,MFSD8 	 18.18 	 ['11', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-142-3p', 'MFSD8', 'WASL', 'HMGB1', 'YOD1', 'SUCO', 'SLC35F5', 'CLIC4', 'MORF4L1', 'KIAA1191', 'C16orf70', 'PPP1R15B']
Only in Control:  	 2.862 	 hsa-miR-20b-5p is not DE, hsa-miR-497-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 ARHGAP12 	 18.18 	 ['6', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-497-5p', 'ELK4', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23', 'WEE1']
Only in Control:  	 3.858 	 hsa-miR-20b-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-524-5p is not DE, hsa-miR-93-5p is not DE 	 25.00 	 4 	 LDLR,PFKP 	 40.00 	 ['5', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-524-5p', 'EXO5', 'CRISPLD2', 'PFKP', 'LDLR', 'WEE1']
Only in Control:  	 4.802 	 hsa-miR-20b-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-520a-3p is not DE, hsa-miR-93-5p is not DE 	 25.00 	 4 	 ACOT9,CEP72,CSNK1A1,EIF2S1,FOXK1,GIGYF1,GINS4,GPR157,ICA1L,PFKP,POLM,QSOX1,RAB11FIP1,RGMB,ZNF682,ZNFX1 	 22.86 	 ['70', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-520a-3p', 'GNB5', 'CXorf38', 'CAPZA2', 'GATAD1', 'ICA1L', 'GTF2H2C', 'SPIB', 'WDR53', 'RANGAP1', 'AGMAT', 'RNASEH1', 'TXK', 'EXO5', 'TNFAIP8L1', 'NR2F6', 'QSOX1', 'KCNA7', 'MED16', 'ZNF514', 'DIS3L', 'PRIM1', 'ZNF578', 'FXYD5', 'CRISPLD2', 'EFCAB11', 'BMP8B', 'ZNF682', 'CEP72', 'FZD9', 'FAM160B1', 'GPR157', 'ACOT9', 'TSR1', 'C9orf40', 'ZNF12', 'NR2C2', 'TTC9', 'ELK4', 'GINS4', 'RGMB', 'TIMM17A', 'KIAA0513', 'EIF2S1', 'ZFYVE26', 'TNFRSF10B', 'KPNA2', 'FOXK1', 'CAVIN1', 'HMGB1', 'FEM1C', 'YOD1', 'ZBTB33', 'CAPRIN2', 'SUCO', 'GIGYF1', 'FOXK2', 'SLC35F5', 'POLM', 'PNRC1', 'PFKP', 'DUSP2', 'CSNK1A1', 'RHOC', 'RAB22A', 'TXNIP', 'ARID4B', 'MKNK2', 'RAB11FIP1', 'ZNF264', 'ZNFX1']
Only in Control:  	 3.195 	 hsa-miR-20b-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-92b-3p is not DE, hsa-miR-93-5p is not DE 	 25.00 	 4 	 CNOT4,MYLIP 	 16.67 	 ['12', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-92b-3p', 'DNAJB9', 'WASL', 'GID4', 'NUFIP2', 'FAM129A', 'CNOT4', 'SOX4', 'BTG2', 'MYLIP', 'PTEN', 'GATA6', 'BCL2L11']
Only in Control:  	 2.862 	 hsa-miR-20b-5p is not DE, hsa-miR-324-3p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 CCDC71L 	 16.67 	 ['6', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-324-3p', 'GTF2H2C', 'WDR53', 'RANGAP1', 'CCDC71L', 'PTPN4', 'MKNK2']
Only in Control:  	 2.929 	 hsa-miR-20b-5p is not DE, hsa-miR-381-3p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 LDLR 	 16.67 	 ['5', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-381-3p', 'HBP1', 'LDLR', 'ZNF264', 'SHOC2', 'WEE1']
Only in Control:  	 3.409 	 hsa-miR-20b-5p is not DE, hsa-miR-363-3p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 CNOT4,MYLIP 	 22.22 	 ['9', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-363-3p', 'DNAJB9', 'WASL', 'GID4', 'FAM129A', 'CNOT4', 'SOX4', 'BTG2', 'MYLIP', 'BCL2L11']
Only in Control:  	 2.929 	 hsa-miR-20b-5p is not DE, hsa-miR-495-3p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 LDLR 	 22.22 	 ['5', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-495-3p', 'COIL', 'RAB10', 'KPNA2', 'PRNP', 'LDLR']
Only in Control:  	 5.159 	 hsa-miR-142-5p is not DE, hsa-miR-20b-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 25.00 	 4 	 AKAP11,CCND1,EFCAB14,HSPA8,NAGK,PFKP,PVR,RGMB,TGFBR2,UBXN2A,ZNFX1 	 30.56 	 ['36', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-142-5p', 'RPF2', 'DNAJC28', 'RNASEH1', 'LZIC', 'PTP4A1', 'TFAM', 'TSR1', 'PRKCB', 'PVR', 'FJX1', 'ANKRD33B', 'PCBP2', 'ELK4', 'RGMB', 'U2SURP', 'ZFYVE21', 'MAPK1', 'ZFYVE26', 'LAPTM4A', 'NAGK', 'RPS6KA5', 'HSPA8', 'EFCAB14', 'FEM1C', 'MTPAP', 'B2M', 'UBXN2A', 'AKAP11', 'CAPRIN2', 'PTPN4', 'PFKP', 'DUSP2', 'NARS', 'TGFBR2', 'ZNFX1', 'CCND1']
